"Index","Open","High","Low","Close","Volume","Adjusted"
2010-02-02,106.400002,107.419998,106.400002,107.419998,468,107.419998
2010-02-03,107.589996,107.589996,106.559998,106.559998,2,106.559998
2010-02-04,106.75,106.75,103.870003,103.870003,1545,103.870003
2010-02-05,103.830002,103.830002,102.290001,102.290001,2,102.290001
2010-02-08,102.970001,102.970001,102.830002,102.830002,2,102.830002
2010-02-09,102.889999,103.260002,102.889999,103.260002,2,103.260002
2010-02-10,104.040001,104.040001,103.779999,103.779999,2,103.779999
2010-02-11,104.379997,104.379997,103.400002,103.400002,2,103.400002
2010-02-12,104.239998,104.239998,103.150002,103.150002,2,103.150002
2010-02-15,103.580002,103.580002,103.580002,103.580002,1,103.580002
2010-02-16,104.629997,105.029999,104.629997,105.029999,2,105.029999
2010-02-17,105.75,106.110001,105.75,106.110001,2,106.110001
2010-02-18,105.760002,106.550003,105.760002,106.550003,2,106.550003
2010-02-19,105.639999,107.199997,105.639999,107.199997,2,107.199997
2010-02-22,107.620003,107.620003,106.669998,106.669998,2,106.669998
2010-02-23,107.199997,107.199997,105.139999,105.139999,2,105.139999
2010-02-24,105.389999,105.389999,105.349998,105.349998,2,105.349998
2010-02-25,104.449997,104.449997,103.519997,103.519997,2,103.519997
2010-02-26,104.459999,105.110001,104.459999,105.110001,2,105.110001
2010-03-01,106.309998,107.129997,106.309998,107.129997,2,107.129997
2010-03-02,107.239998,108.459999,107.239998,108.459999,2,108.459999
2010-03-03,108.110001,109.07,108.110001,109.07,2,109.07
2010-03-04,108.239998,108.540001,108.239998,108.540001,2373,108.540001
2010-03-05,109.160004,110.269997,109.160004,110.269997,2,110.269997
2010-03-08,110.459999,110.459999,110.260002,110.260002,2,110.260002
2010-03-09,110.25,110.309998,110.25,110.309998,2,110.309998
2010-03-10,110.25,111.309998,110.25,111.309998,2,111.309998
2010-03-11,110.910004,111.300003,110.910004,111.120003,100,111.120003
2010-03-12,111.57,111.57,111.519997,111.519997,2,111.519997
2010-03-15,111.43,111.43,110.790001,110.790001,2,110.790001
2010-03-16,111.400002,111.970001,111.400002,111.970001,50,111.970001
2010-03-17,112.529999,113.040001,112.529999,113.040001,2,113.040001
2010-03-18,112.739998,112.970001,112.739998,112.970001,100,112.970001
2010-03-19,113.129997,113.129997,112.25,112.25,2,112.25
2010-03-22,111.940002,112.470001,111.809998,112.470001,40,112.470001
2010-03-23,112.400002,112.860001,112.400002,112.860001,2,112.860001
2010-03-24,113.150002,113.349998,113.150002,113.160004,3575,113.160004
2010-03-25,113.379997,115.120003,113.379997,115.120003,2,115.120003
2010-03-26,114.989998,114.989998,114.82,114.82,2,114.82
2010-03-29,115.360001,115.440002,115.220001,115.440002,110,115.440002
2010-03-30,115.940002,115.940002,115.099998,115.099998,2,115.099998
2010-03-31,115.139999,115.510002,114.900002,115.510002,70,115.510002
2010-04-01,116.099998,117.089996,116.099998,117.089996,3500,117.089996
2010-04-06,117.309998,117.309998,117.309998,117.309998,1,117.309998
2010-04-07,117.169998,117.169998,116.639999,116.639999,2,116.639999
2010-04-08,116.25,116.25,115.5,115.849998,50,115.849998
2010-04-09,116.739998,117.330002,116.739998,117.330002,70,117.330002
2010-04-12,117.82,117.82,117.269997,117.269997,15,117.269997
2010-04-13,116.900002,117.07,116.709999,116.709999,29,116.709999
2010-04-14,117.5,117.709999,117.5,117.709999,2,117.709999
2010-04-15,117.970001,118.160004,117.970001,118.160004,2,118.160004
2010-04-16,117.419998,117.419998,116.290001,116.290001,2,116.290001
2010-04-19,115.559998,115.669998,115.559998,115.669998,2,115.669998
2010-04-20,116.540001,117.559998,116.540001,117.559998,2,117.559998
2010-04-21,118.040001,118.040001,117.160004,117.160004,2,117.160004
2010-04-22,117.199997,117.199997,115.889999,115.889999,2,115.889999
2010-04-23,116.449997,117.910004,116.449997,117.910004,2,117.910004
2010-04-26,118.900002,119.019997,118.889999,119.019997,10000,119.019997
2010-04-27,118.940002,118.940002,115.169998,115.169998,3500,115.169998
2010-04-28,115.260002,115.260002,113.389999,113.389999,3587,113.389999
2010-04-29,114.75,115.449997,114.75,115.449997,900,115.449997
2010-04-30,115.559998,116.239998,115.169998,115.169998,5485,115.169998
2010-05-03,114.82,115.760002,114.82,115.760002,3600,115.760002
2010-05-04,116.019997,116.019997,112.639999,112.650002,3600,112.650002
2010-05-05,112.849998,112.849998,111.550003,111.550003,9226,111.550003
2010-05-06,110.970001,112.160004,110.32,110.660004,9550,110.660004
2010-05-07,108.419998,108.419998,106.389999,110.660004,7000,110.660004
2010-05-10,111.75,112.650002,111.75,112.650002,4,112.650002
2010-05-11,111.059998,113.220001,111.059998,113.220001,5520,113.220001
2010-05-12,112.589996,115.690002,112.589996,115.690002,6300,115.690002
2010-05-13,116.629997,117.190002,116.629997,116.860001,3700,116.860001
2010-05-14,116.639999,116.639999,112.830002,113.309998,4527,113.309998
2010-05-17,113.040001,114.860001,113.040001,113.540001,3010,113.540001
2010-05-18,114.919998,115.129997,114.709999,115.129997,68,115.129997
2010-05-19,113.620003,113.620003,111.900002,111.900002,1,111.900002
2010-05-20,112.620003,112.620003,109.669998,109.669998,7000,109.669998
2010-05-21,109.089996,109.089996,107.660004,108.739998,5000,108.739998
2010-05-24,109.580002,109.580002,108.309998,108.650002,5000,108.650002
2010-05-25,105.599998,105.849998,105.5,105.580002,4000,105.580002
2010-05-26,106.970001,108.400002,106.970001,107.459999,4514,107.459999
2010-05-27,108.550003,110.790001,108.550003,110.790001,9432,110.790001
2010-05-28,110.970001,111.540001,110.970001,111.169998,4500,111.169998
2010-05-31,111.18,111.43,111.18,111.43,1,111.43
2010-06-01,110.470001,111.82,110.470001,111.82,1,111.82
2010-06-02,110.690002,111.690002,110.089996,111.690002,1820,111.690002
2010-06-03,113.620003,114.019997,113.199997,113.199997,1800,113.199997
2010-06-04,113.949997,113.949997,111.330002,111.330002,5312,111.330002
2010-06-07,109.779999,110.839996,109.779999,110.610001,1192,110.610001
2010-06-08,110.529999,110.529999,108.610001,109.349998,5728,109.349998
2010-06-09,110.040001,111.809998,109.589996,111.709999,798,111.709999
2010-06-10,111.389999,113.110001,110.75,113.110001,2167,113.110001
2010-06-11,113.730003,113.730003,112.099998,112.900002,13811,112.900002
2010-06-14,114.389999,114.639999,114.080002,114.480003,18005,114.480003
2010-06-15,114.050003,115.360001,114,115.360001,474,115.360001
